AMOV,"America Movil, S.A.B. de C.V.",16.55,$55.26B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,NASDAQ
AAL,"American Airlines Group, Inc.",43.26,$27.27B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,NASDAQ
AGNC,American Capital Agency Corp.,17.97,$6.23B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc,NASDAQ
AGNCB,American Capital Agency Corp.,24.67,$8.55B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb,NASDAQ
AGNCP,American Capital Agency Corp.,25.8701,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp,NASDAQ
MTGE,American Capital Mortgage Investment Corp.,14.72,$736.15M,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge,NASDAQ
MTGEP,American Capital Mortgage Investment Corp.,24.34,$48.68M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtgep,NASDAQ
ACSF,"American Capital Senior Floating, Ltd.",10.8,$108M,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf,NASDAQ
ACAS,"American Capital, Ltd.",15.55,$4.1B,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas,NASDAQ
GNOW,American Caresource Holdings Inc,0.73,$5.08M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/gnow,NASDAQ
AETI,"American Electric Technologies, Inc.",2.35,$19.4M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti,NASDAQ
AMIC,American Independence Corp.,9.1683,$74.15M,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic,NASDAQ
AMNB,"American National Bankshares, Inc.",25.8,$222.83M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb,NASDAQ
